,UnitPrice
1.25,39614
1.65,31632
2.95,23070
0.85,22040
0.42,18781
4.95,15496
2.1,15158
3.75,15127
2.08,13537
2.55,10571
1.95,10504
1.45,10468
5.95,6684
0.65,6648
0.39,6573
0.55,6404
7.95,6041
4.25,6035
0.83,4995
9.95,4738
8.5,4607
4.15,4432
0.29,3760
1.69,3703
8.25,3020
12.75,3006
3.95,2473
2.89,2217
6.75,2081
3.25,1722
0.79,1496
0.19,1493
0.95,1321
1.06,1189
6.25,1155
6.95,1082
2.49,1036
16.95,917
0.21,909
2.46,906
3.29,891
1.79,889
5.45,866
12.5,858
14.95,822
0.72,807
2.25,801
4.65,719
8.95,710
3.39,671
10.95,664
5.75,656
1.49,650
1.63,627
1.85,558
0.75,536
0.12,536
7.5,498
4.13,473
7.65,377
6.35,350
5.79,326
0.36,301
0.38,292
7.08,268
0.82,251
3.45,249
0.63,243
1.04,203
7.46,201
3.35,189
8.29,161
8.15,150
7.9,142
15.95,139
0.59,129
2.75,127
1.55,125
6.65,121
11.95,118
39.95,116
10.4,114
10.79,109
4.96,100
0.64,99
15.0,97
0.06,95
4.58,95
19.95,93
0.62,92
6.45,87
16.63,87
0.14,82
10.75,74
24.95,63
0.25,58
1.0,57
12.46,56
0.5,55
25.0,54
5.49,54
0.04,53
1.75,53
7.45,52
0.3,52
1.74,52
16.65,51
0.08,51
15.79,49
125.0,48
0.1,45
7.85,44
0.16,42
0.34,41
5.39,41
6.63,40
0.32,39
35.95,37
3.81,37
8.0,36
0.53,36
5.55,34
50.0,33
29.95,31
2.31,30
1.48,29
0.4,28
85.0,27
5.35,26
1.05,26
7.05,24
2.92,24
0.18,23
3.2,23
8.49,23
2.5,23
11.63,22
21.95,22
24.96,22
165.0,20
34.95,20
1.7,20
1.5,20
1.66,20
2.4,19
10.65,19
3.37,18
2.66,18
49.95,18
2.39,17
1.53,17
0.69,16
0.27,16
7.25,16
11.15,16
3.88,15
2.12,15
0.2,15
9.96,15
5.88,13
18.95,13
0.73,13
14.13,13
20.8,13
2.17,12
1.93,11
35.75,11
3.24,11
1.12,11
0.22,11
3.21,10
195.0,10
19.96,10
145.0,10
1.8,10
4.8,10
4.6,10
2.62,9
2.41,9
10.0,9
3.32,9
9.13,8
1.92,8
295.0,8
0.17,8
5.1,7
4.77,7
3.5,7
5.0,7
4.08,7
4.0,7
2.21,7
0.07,7
2.0,7
3.0,7
65.0,6
1.08,6
2.69,6
0.8,6
13.29,6
6.67,6
1.24,6
1.97,6
6.38,6
1.27,6
1.88,5
2.32,5
5.66,5
0.24,5
4.18,5
0.35,5
110.0,5
1.46,5
59.95,5
14.55,5
6.0,5
3.26,4
0.58,4
6.6,4
0.37,4
32.95,4
0.001,4
9.98,4
6.72,4
3.58,4
1.18,3
2.65,3
4.78,3
1.43,3
3.49,3
0.9,3
3.57,3
3.82,3
2.6,3
0.28,3
29.13,3
3.91,3
1.38,3
3.86,3
3.28,3
6.5,3
26.95,3
6.98,3
4.62,3
4.3,2
649.5,2
1.4,2
3.9,2
5.15,2
1.64,2
5.08,2
4.67,2
10.13,2
12.48,2
8.87,2
4.14,2
3.89,2
20.0,2
5.06,2
35.0,2
6.36,2
4.98,2
0.86,2
0.94,2
2.67,2
33.29,2
5.64,2
11.67,2
3.44,2
6.79,2
7.13,2
2.16,2
5.68,2
9.15,2
10.39,2
250.0,2
14.96,2
2.48,2
41.75,2
2.26,2
208.34,1
2.9,1
2.22,1
1.68,1
635.01,1
32.69,1
2.02,1
40.0,1
878.55,1
6.42,1
1526.76,1
3.15,1
1.9,1
6.4,1
2.3,1
57.95,1
25.95,1
5.17,1
19.84,1
8142.75,1
0.98,1
901.58,1
152.78,1
2.04,1
4.27,1
852.8,1
5.13,1
85.58,1
4.86,1
400.0,1
9.42,1
12.98,1
490.25,1
1.1,1
0.92,1
19.94,1
4.02,1
32.22,1
3.13,1
1.71,1
8.12,1
1867.86,1
129.38,1
1.96,1
12.0,1
3.85,1
150.0,1
1.11,1
638.3,1
6.89,1
4.5,1
13.16,1
308.82,1
18.0,1
1.02,1
5.14,1
1.98,1
52.77,1
1270.06,1
21.0,1
5.18,1
334.71,1
1.6,1
2.35,1
3.4,1
16.46,1
6.7,1
2033.1,1
7.62,1
0.74,1
30.0,1
688.08,1
175.0,1
6.71,1
0.68,1
79.95,1
600.0,1
2.99,1
2.33,1
3.12,1
3155.95,1
3.97,1
36.5,1
743.62,1
1.67,1
6.91,1
9.89,1
451.42,1
5.32,1
45.0,1
1500.36,1
550.64,1
4.68,1
850.5,1
1.23,1
908.16,1
12.95,1
3.92,1
6.78,1
2.85,1
2500.0,1
11.17,1
0.76,1
9.16,1
3.98,1
120.0,1
2.96,1
464.9,1
