,CustomerID
17841.0,7983
14911.0,5903
14096.0,5128
12748.0,4642
14606.0,2782
15311.0,2491
14646.0,2085
13089.0,1857
13263.0,1677
14298.0,1640
15039.0,1508
14156.0,1420
18118.0,1284
14159.0,1212
14796.0,1165
15005.0,1160
16033.0,1152
14056.0,1128
14769.0,1094
17511.0,1076
13081.0,1061
14527.0,1011
16549.0,981
14456.0,977
15719.0,938
15555.0,925
16931.0,898
17811.0,872
14505.0,803
12415.0,778
17338.0,757
18283.0,756
17757.0,742
12921.0,741
17675.0,721
15159.0,720
16764.0,718
16904.0,710
13137.0,705
15547.0,702
16923.0,696
17920.0,696
17735.0,690
15529.0,674
16360.0,671
16729.0,668
16241.0,662
15856.0,653
12681.0,646
13969.0,633
16713.0,632
14502.0,631
14415.0,612
13230.0,612
13098.0,605
14194.0,604
14088.0,590
16686.0,588
13694.0,585
17611.0,582
14667.0,576
17238.0,566
17602.0,565
15023.0,563
15358.0,561
15993.0,560
14534.0,558
12867.0,551
17337.0,548
15861.0,547
16910.0,547
17231.0,546
14367.0,533
12471.0,531
12682.0,525
15498.0,523
15356.0,519
17059.0,516
15033.0,513
15998.0,509
14895.0,506
14049.0,505
17346.0,503
16161.0,502
13668.0,501
13408.0,501
14730.0,501
13319.0,500
15640.0,495
17954.0,489
17315.0,487
17139.0,487
12540.0,481
15021.0,479
16558.0,474
12621.0,474
18041.0,474
17220.0,472
18069.0,472
13069.0,470
17365.0,468
15867.0,463
12567.0,463
15044.0,461
13018.0,459
12474.0,457
18109.0,454
16746.0,452
17581.0,452
15078.0,451
14085.0,451
16813.0,449
16712.0,447
13268.0,447
14562.0,446
13451.0,444
13798.0,439
12841.0,439
13097.0,437
13521.0,436
18102.0,433
15615.0,429
13488.0,427
17340.0,424
13050.0,422
17107.0,421
14684.0,421
12433.0,420
17377.0,419
16984.0,418
17576.0,417
14546.0,417
14704.0,415
17364.0,414
15601.0,414
17758.0,412
15752.0,412
15061.0,410
17799.0,410
13004.0,409
17243.0,407
16710.0,402
15034.0,400
16422.0,399
13767.0,399
17706.0,395
13458.0,394
12637.0,394
17530.0,394
14800.0,392
14849.0,392
12472.0,391
17865.0,389
16007.0,385
15443.0,385
14587.0,384
14432.0,382
13078.0,380
16843.0,379
17813.0,378
18116.0,378
12757.0,377
16426.0,372
17509.0,369
16474.0,368
14547.0,367
14936.0,366
16133.0,365
14903.0,364
18122.0,364
18055.0,363
12683.0,362
14688.0,359
12720.0,359
14711.0,359
16745.0,358
16393.0,358
15249.0,358
12451.0,355
16110.0,354
14395.0,353
13985.0,353
17450.0,351
14701.0,350
12484.0,350
12705.0,348
14702.0,348
13148.0,347
13709.0,346
16779.0,344
15150.0,344
13755.0,343
17428.0,343
13534.0,342
13001.0,342
14713.0,341
13571.0,341
13975.0,340
13871.0,338
14071.0,333
14535.0,333
14583.0,330
15570.0,330
13209.0,329
15436.0,329
17965.0,329
14178.0,327
16919.0,327
15194.0,326
16814.0,325
13742.0,323
16791.0,322
17049.0,322
17677.0,321
14680.0,320
16326.0,320
13269.0,320
16327.0,319
17613.0,319
12856.0,317
14961.0,317
12839.0,316
17050.0,316
14506.0,316
17625.0,315
13418.0,314
13174.0,314
15513.0,314
17769.0,313
16700.0,312
17850.0,312
16049.0,312
12766.0,310
13102.0,310
12971.0,308
12477.0,308
15805.0,307
13869.0,307
12626.0,307
15427.0,306
13468.0,306
15382.0,306
16940.0,305
15727.0,302
15426.0,300
12428.0,300
15493.0,299
17571.0,299
18223.0,299
